Ticker,Company,Sector,Industry,Country,Market Cap,Price
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32159999999.999996,113.23
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3164710000000.0,213.25
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,346780000000.0,196.3
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,81750000000.0,130.5
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,227880000000.0,130.93
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33640000000.0,89.76
ACN,Accenture plc,Technology,Information Technology Services,Ireland,154180000000.0,247.54
ADBE,Adobe Inc,Technology,Software - Application,USA,146610000000.0,345.62
ADI,Analog Devices Inc,Technology,Semiconductors,USA,109520000000.0,220.69
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,27260000000.0,56.73
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122440000000.0,301.64
ADSK,Autodesk Inc,Technology,Software - Application,USA,65290000000.00001,305.18
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,28110000000.0,101.62
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,60690000000.0,113.49
AES,AES Corp,Utilities,Utilities - Diversified,USA,9140000000.0,12.84
AFL,Aflac Inc,Financial,Insurance - Life,USA,55310000000.0,102.31
AIG,American International Group Inc,Financial,Insurance - Diversified,USA,45560000000.0,79.06
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10650000000.0,210.04
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,73400000000.0,286.26
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,10890000000.0,74.48
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,7920000000.0,67.3
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,9920000000.0,136.9
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,55080000000.0,209.01
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,14120000000.0,164.49
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,142960000000.0,178.14
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,21690000000.0,9.41
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,264480000000.00003,163.12
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,42840000000.0,185.47
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,153070000000.0,284.67
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,48410000000.0,508.43
AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,97820000000.0,208.9
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2370920000000.0,222.31
ANET,Arista Networks Inc,Technology,Computer Hardware,USA,174300000000.0,138.78
AON,Aon plc,Financial,Insurance Brokers,Ireland,78420000000.0,363.68
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,9890000000.0,70.56
APA,APA Corporation,Energy,Oil & Gas E&P,USA,6520000000.0,18.06
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,64330000000.0,289.05
APH,Amphenol Corp,Technology,Electronic Components,USA,133690000000.0,109.5
APO,Apollo Global Management Inc,Financial,Asset Management,USA,83360000000.0,145.87
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,14180000000.0,65.12
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,12770000000.0,73.85
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas,USA,24940000000.0,157.02
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential,USA,26550000000.0,186.5
AVGO,Broadcom Inc,Technology,Semiconductors,USA,1418900000000.0,301.67
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,USA,13070000000.0,167.62
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,27690000000.0,141.91
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,67239999999.99999,863.65
AXP,American Express Co,Financial,Credit Services,USA,205660000000.0,295.54
AZO,Autozone Inc,Consumer Cyclical,Auto Parts,USA,68129999999.99999,4072.8
BA,Boeing Co,Industrials,Aerospace & Defense,USA,170170000000.0,225.04
BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,336420000000.0,45.42
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,14580000000.0,52.55
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies,USA,11550000000.0,22.5
BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail,USA,14250000000.0,67.43
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies,USA,49410000000.0,172.41
BEN,"Franklin Resources, Inc",Financial,Asset Management,USA,13080000000.0,25.19
BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries,USA,14350000000.0,30.51
BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,16200000000.0,80.97
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General,USA,18960000000.0,129.34
BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified,USA,72140000000.0,102.29
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,USA,179430000000.0,5536.31
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,USA,42820000000.0,43.43
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment,USA,14450000000.0,130.74
BLK,Blackrock Inc,Financial,Asset Management,USA,173600000000.0,1120.54
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,USA,91230000000.0,44.82
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services,USA,31350000000.0,266.89
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified,USA,1010750000000.0,468.91
BRO,"Brown & Brown, Inc",Financial,Insurance Brokers,USA,30280000000.0,91.8
BSX,Boston Scientific Corp,Healthcare,Medical Devices,USA,152550000000.0,102.95
BX,Blackstone Inc,Financial,Asset Management,USA,206730000000.0,169.35
BXP,BXP Inc,Real Estate,REIT - Office,USA,11480000000.0,66.02
C,Citigroup Inc,Financial,Banks - Diversified,USA,172260000000.0,92.23
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,9040000000.0,18.93
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution,USA,37380000000.0,156.6
CARR,Carrier Global Corp,Industrials,Building Products & Equipment,USA,56260000000.0,66.11
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,USA,201160000000.0,427.72
CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,107500000000.0,269.63
CBOE,Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges,USA,25950000000.0,248.1
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,USA,46380000000.0,155.88
CCI,Crown Castle Inc,Real Estate,REIT - Specialty,USA,45800000000.0,105.29
CCL,Carnival Corp,Consumer Cyclical,Travel Services,USA,37990000000.0,29.24
CDNS,"Cadence Design Systems, Inc",Technology,Software - Application,USA,98140000000.0,360.16
CDW,CDW Corp,Technology,Information Technology Services,USA,21800000000.0,165.51
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,USA,106080000000.0,338.46
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA,14560000000.0,89.9
CFG,Citizens Financial Group Inc,Financial,Banks - Regional,USA,20240000000.0,46.93
CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products,USA,22530000000.0,92.5
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,13900000000.0,117.74
CHTR,Charter Communications Inc,Communication Services,Telecom Services,USA,39950000000.0,262.04
CI,Cigna Group,Healthcare,Healthcare Plans,USA,72060000000.0,269.96
CINF,Cincinnati Financial Corp,Financial,Insurance - Property & Casualty,USA,24090000000.0,154.05
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,68379999999.99999,84.61
CLX,Clorox Co,Consumer Defensive,Household & Personal Products,USA,15470000000.0,125.5
CMCSA,Comcast Corp,Communication Services,Telecom Services,USA,118740000000.0,32.16
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,101390000000.0,281.35
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,57240000000.0,42.69
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery,USA,52580000000.0,381.68
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,22180000000.0,74.11
CNC,Centene Corp,Healthcare,Healthcare Plans,USA,12380000000.0,25.21
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric,USA,25200000000.0,38.6
COF,Capital One Financial Corp,Financial,Credit Services,USA,136139999999.99998,212.88
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges,USA,78000000000.0,303.58
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,USA,13590000000.0,68.12
COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,117540000000.0,93.11
COR,Cencora Inc,Healthcare,Medical Distribution,USA,55000000000.0,283.78
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,429530000000.0,968.56
CPAY,Corpay Inc,Technology,Software - Infrastructure,USA,22210000000.0,315.07
CPB,Campbells Co,Consumer Defensive,Packaged Foods,USA,9750000000.0,32.69
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,45550000000.0,47.11
CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,15070000000.0,106.47
CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research,USA,7380000000.0,150.33
CRM,Salesforce Inc,Technology,Software - Application,USA,238210000000.0,249.17
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,112580000000.0,451.69
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment,USA,274070000000.0,69.21
CSGP,"Costar Group, Inc",Real Estate,Real Estate Services,USA,40790000000.0,96.29
CSX,CSX Corp,Industrials,Railroads,USA,67129999999.99999,36.01
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,90380000000.0,224.28
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,18510000000.0,24.25
CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services,USA,34620000000.0,70.89
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA,48550000000.0,71.17
CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA,80560000000.0,63.52
CVX,Chevron Corp,Energy,Oil & Gas Integrated,USA,312800000000.0,152.78
CZR,Caesars Entertainment Inc,Consumer Cyclical,Resorts & Casinos,USA,5170000000.0,24.88
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA,52030000000.0,60.97
DAL,"Delta Air Lines, Inc",Industrials,Airlines,USA,35340000000.0,54.12
DASH,DoorDash Inc,Consumer Cyclical,Internet Retail,USA,109360000000.0,258.08
DAY,Dayforce Inc,Technology,Software - Application,USA,8539999999.999999,53.4
DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA,29630000000.0,70.8
DDOG,Datadog Inc,Technology,Software - Application,USA,47300000000.0,136.96
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,USA,138020000000.0,509.64
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories,USA,15680000000.0,105.72
DELL,Dell Technologies Inc,Technology,Computer Hardware,USA,86990000000.0,128.14
DG,Dollar General Corp,Consumer Defensive,Discount Stores,USA,24940000000.0,113.32
DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research,USA,19350000000.0,173.0
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,45930000000.0,154.06
DHR,Danaher Corp,Healthcare,Diagnostics & Research,USA,139750000000.0,195.17
DIS,Walt Disney Co,Communication Services,Entertainment,USA,207050000000.0,115.17
DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA,57800000000.0,169.49
DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,24290000000.0,116.37
