Date,Title,Link,Source
2024-11-12 12:02:00,US sues to block UnitedHealth's $3.3 billion purchase of Amedisys,https://finance.yahoo.com/news/us-sues-block-unitedhealths-3-170254074.html,Reuters
2024-11-12 09:14:00,"US Justice Department preps suit over UnitedHealth-Amedisys deal, Bloomberg News reports",https://finance.yahoo.com/news/us-justice-department-preps-suit-141426958.html,Reuters
2024-11-06 12:54:00,"CVS Taps Ex-UnitedHealth Executive for Aetna, Skips Guidance",https://finance.yahoo.com/news/cvs-taps-ex-unitedhealth-executive-144600016.html,Bloomberg
2024-11-06 06:37:00,"CVS names former UnitedHealth exec to run Aetna, shares jump",https://finance.yahoo.com/news/cvs-taps-former-unitedhealth-executive-113736824.html,Reuters
2024-10-25 06:15:00,Health insurer Centene eases investor fears with better-than-expected profit,https://finance.yahoo.com/news/health-insurer-centene-beats-profit-101521095.html,Reuters
2024-10-24 13:05:00,"Hack at UnitedHealth's tech unit impacted 100 million people, US health dept says",https://finance.yahoo.com/news/hack-unitedhealths-tech-unit-impacted-170507967.html,Reuters
2024-10-15 11:08:00,UnitedHealth Sinks on Rare Miss as 2025 Outlook Disappoints,https://finance.yahoo.com/news/unitedhealth-narrows-2024-forecast-higher-102237039.html,Bloomberg
2024-10-15 06:04:00,"UnitedHealth's medical costs surge in third quarter, shares drop",https://finance.yahoo.com/news/unitedhealth-beats-quarterly-profit-estimates-100411007.html,Reuters
2024-12-03 16:27:00,UnitedHealth forecasts 2025 profit largely in line with estimates,https://finance.yahoo.com/news/unitedhealth-forecasts-2025-profit-below-212725553.html,Reuters
2024-12-04 07:35:00,UnitedHealth forecasts 2025 medical costs above expectations,https://finance.yahoo.com/news/unitedhealth-forecasts-2025-medical-costs-123550024.html,Reuters
2024-12-04 09:05:00,"UnitedHealthcare CEO fatally shot, reports say",https://finance.yahoo.com/news/unitedhealthcare-ceo-fatally-shot-reports-140540014.html,Reuters
2024-12-05 05:03:00,New York police hunt for man who killed UnitedHealth executive Brian Thompson,https://ca.finance.yahoo.com/news/york-police-hunt-man-killed-100328316.html,Reuters
2024-12-05 05:03:00,Manhunt underway in New York for killer of UnitedHealth's Brian Thompson,https://finance.yahoo.com/news/york-police-hunt-man-killed-100328316.html,Reuters
2024-12-05 12:03:00,Explainer: What is known about the shooting of UnitedHealth executive Brian Thompson,https://finance.yahoo.com/news/explainer-known-shooting-unitedhealth-executive-170306678.html,Reuters
2024-12-05 13:15:00,Factbox-What is the UnitedHealthcare business that was led by slain CEO Brian Thompson?,https://finance.yahoo.com/news/factbox-unitedhealthcare-business-led-slain-181545316.html,Reuters
2024-12-05 15:25:00,Healthcare industry rethinks risk after murder of UnitedHealth exec,https://finance.yahoo.com/m/7e0074ff-2403-3d7e-87c1-e21e065b844e/healthcare-industry-rethinks.html,Reuters
2024-12-06 05:04:00,"Police scour New York for suspect, two days after UnitedHealth executive gunned down",https://finance.yahoo.com/news/police-scour-york-suspect-two-100404244.html,Reuters
2024-12-06 14:31:00,Health insurer shares fall after UnitedHealth exec murder,https://finance.yahoo.com/news/health-insurer-shares-fall-unitedhealth-193110110.html,Reuters
2024-12-09 06:04:00,Killing of UnitedHealthcare exec ignites patient anger over insurance,https://finance.yahoo.com/m/87b56fdf-e635-3738-ae29-8e8d7497d242/killing-of-unitedhealthcare.html,Reuters
2024-12-09 06:04:00,Americans face challenges as health insurance costs rise and delays mount,https://finance.yahoo.com/m/87b56fdf-e635-3738-ae29-8e8d7497d242/americans-face-challenges-as.html,Reuters
2024-12-10 11:36:00,UnitedHealth murder suspect has angry outburst as details of his life emerge,https://finance.yahoo.com/m/cb00ac5f-6b3f-3a6b-8d0d-20beb3845d70/unitedhealth-murder-suspect.html,Reuters
2024-12-10 11:36:00,UnitedHealth murder suspect faces extradition hearing in Pennsylvania,https://ca.finance.yahoo.com/news/investigators-retrace-unitedhealth-murder-suspects-163626874.html,Reuters
2024-12-10 11:36:00,Suspect in UnitedHealth murder to fight extradition to New York,https://finance.yahoo.com/m/cb00ac5f-6b3f-3a6b-8d0d-20beb3845d70/suspect-in-unitedhealth.html,Reuters
2024-12-11 11:54:00,Lawmakers Eye Bill Forcing Drug Middlemen to Sell Pharmacies,https://finance.yahoo.com/news/lawmakers-eye-bill-forcing-drug-145619369.html,Bloomberg
2024-12-11 12:16:00,Healthcare stocks fall as lawmakers push for bill to break up drug middlemen,https://finance.yahoo.com/news/health-insurer-stocks-fall-wsj-171647574.html,Reuters
2024-12-11 12:23:00,Health execs reckon with patient outrage after UnitedHealthcare killing,https://finance.yahoo.com/news/health-care-execs-seek-better-172306478.html,Reuters
2024-12-11 12:23:00,Health care execs seek to better understand patient outrage after UnitedHealthcare killing,https://finance.yahoo.com/m/d8a3f68b-d79b-3d28-9e76-c0541c029f39/health-care-execs-seek-to.html,Reuters
2024-12-13 05:30:00,UnitedHealth says suspect in executive murder was not a customer,https://finance.yahoo.com/m/13dd8ced-f8c8-3281-8ddd-13d35a532bad/unitedhealth-says-suspect-in.html,Reuters
2024-12-13 05:30:00,UnitedHealth Group CEO Andrew Witty says healthcare system is flawed,https://finance.yahoo.com/m/13dd8ced-f8c8-3281-8ddd-13d35a532bad/unitedhealth-group-ceo-andrew.html,Reuters
2024-12-13 05:30:00,UnitedHealth Group CEO acknowledges 'flawed' US healthcare system,https://finance.yahoo.com/m/13dd8ced-f8c8-3281-8ddd-13d35a532bad/unitedhealth-group-ceo.html,Reuters
2024-12-13 05:30:00,"Suspect in UnitedHealth executive murder was not a company customer, reports say",https://finance.yahoo.com/m/13dd8ced-f8c8-3281-8ddd-13d35a532bad/suspect-in-unitedhealth.html,Reuters
